exposure_id,user_id,event_type,event_timestamp,feature_name,context
exp_8933424717,user_00001,exposed,2025-06-14 00:00:00,ai_caption_generator,post_composer_tooltip
exp_2365193531,user_00001,first_use,2025-06-15 00:00:00,ai_caption_generator,bulk_schedule
exp_3429487999,user_00001,repeat_use,2025-06-22 00:00:00,ai_caption_generator,content_calendar
exp_3901921544,user_00001,repeat_use,2025-06-22 00:00:00,ai_caption_generator,content_calendar
exp_3069125821,user_00001,repeat_use,2025-07-05 00:00:00,ai_caption_generator,bulk_schedule
exp_8031808941,user_00001,repeat_use,2025-07-27 00:00:00,ai_caption_generator,content_calendar
exp_4453113650,user_00001,repeat_use,2025-08-04 00:00:00,ai_caption_generator,post_composer
exp_8487285394,user_00001,repeat_use,2025-08-08 00:00:00,ai_caption_generator,quick_action
exp_5060237269,user_00001,repeat_use,2025-08-11 00:00:00,ai_caption_generator,quick_action
exp_9963626498,user_00001,repeat_use,2025-08-22 00:00:00,ai_caption_generator,bulk_schedule
exp_532183619,user_00001,repeat_use,2025-08-22 00:00:00,ai_caption_generator,content_calendar
exp_9006841832,user_00001,repeat_use,2025-08-27 00:00:00,ai_caption_generator,content_calendar
exp_4533556143,user_00001,repeat_use,2025-09-02 00:00:00,ai_caption_generator,quick_action
exp_5063654096,user_00001,repeat_use,2025-09-02 00:00:00,ai_caption_generator,content_calendar
exp_527431653,user_00001,repeat_use,2025-09-07 00:00:00,ai_caption_generator,post_composer
exp_682186492,user_00001,repeat_use,2025-10-06 00:00:00,ai_caption_generator,bulk_schedule
exp_4158280491,user_00001,repeat_use,2025-11-17 00:00:00,ai_caption_generator,quick_action
exp_6870869174,user_00001,repeat_use,2025-11-27 00:00:00,ai_caption_generator,quick_action
exp_7405182556,user_00001,repeat_use,2025-12-08 00:00:00,ai_caption_generator,content_calendar
exp_883038953,user_00001,repeat_use,2025-12-27 00:00:00,ai_caption_generator,content_calendar
exp_2945465151,user_00001,repeat_use,2025-12-29 00:00:00,ai_caption_generator,post_composer
exp_2962286526,user_00003,exposed,2025-06-01 00:00:00,ai_caption_generator,post_composer_tooltip
exp_8605078169,user_00003,first_use,2025-06-12 00:00:00,ai_caption_generator,post_composer
exp_4012866798,user_00003,repeat_use,2025-06-17 00:00:00,ai_caption_generator,content_calendar
exp_1066982166,user_00003,repeat_use,2025-06-25 00:00:00,ai_caption_generator,post_composer
exp_9900558642,user_00003,repeat_use,2025-07-10 00:00:00,ai_caption_generator,quick_action
exp_9257246081,user_00003,repeat_use,2025-07-19 00:00:00,ai_caption_generator,bulk_schedule
exp_8249075452,user_00003,repeat_use,2025-07-29 00:00:00,ai_caption_generator,post_composer
exp_6798660500,user_00003,repeat_use,2025-07-30 00:00:00,ai_caption_generator,bulk_schedule
exp_8848537715,user_00003,repeat_use,2025-08-13 00:00:00,ai_caption_generator,quick_action
exp_5039115228,user_00003,repeat_use,2025-08-13 00:00:00,ai_caption_generator,quick_action
exp_5730741550,user_00003,repeat_use,2025-08-27 00:00:00,ai_caption_generator,content_calendar
exp_9559112620,user_00003,repeat_use,2025-08-30 00:00:00,ai_caption_generator,content_calendar
exp_1936225975,user_00003,repeat_use,2025-09-04 00:00:00,ai_caption_generator,quick_action
exp_3785873038,user_00003,repeat_use,2025-09-06 00:00:00,ai_caption_generator,content_calendar
exp_9106418854,user_00003,repeat_use,2025-09-23 00:00:00,ai_caption_generator,bulk_schedule
exp_8806851495,user_00003,repeat_use,2025-09-23 00:00:00,ai_caption_generator,post_composer
exp_7783043864,user_00003,repeat_use,2025-09-28 00:00:00,ai_caption_generator,content_calendar
exp_991770302,user_00003,repeat_use,2025-10-01 00:00:00,ai_caption_generator,content_calendar
exp_6382383160,user_00003,repeat_use,2025-10-13 00:00:00,ai_caption_generator,post_composer
exp_6892054388,user_00003,repeat_use,2025-11-12 00:00:00,ai_caption_generator,quick_action
exp_8995773967,user_00003,repeat_use,2025-11-17 00:00:00,ai_caption_generator,quick_action
exp_8733560830,user_00003,repeat_use,2025-11-26 00:00:00,ai_caption_generator,quick_action
exp_9230642632,user_00003,repeat_use,2025-12-02 00:00:00,ai_caption_generator,content_calendar
exp_2661329424,user_00003,repeat_use,2025-12-02 00:00:00,ai_caption_generator,quick_action
exp_3123781520,user_00003,repeat_use,2025-12-20 00:00:00,ai_caption_generator,post_composer
exp_2738405718,user_00003,repeat_use,2025-12-21 00:00:00,ai_caption_generator,content_calendar
exp_1524929290,user_00003,repeat_use,2025-12-24 00:00:00,ai_caption_generator,content_calendar
exp_2820357334,user_00003,repeat_use,2025-12-28 00:00:00,ai_caption_generator,quick_action
exp_5918608645,user_00003,repeat_use,2025-12-29 00:00:00,ai_caption_generator,bulk_schedule
exp_9542340993,user_00005,exposed,2025-06-26 00:00:00,ai_caption_generator,feature_announcement_email
exp_8480962546,user_00011,exposed,2025-08-02 00:00:00,ai_caption_generator,dashboard_banner
exp_5200166531,user_00012,exposed,2025-06-13 00:00:00,ai_caption_generator,dashboard_banner
exp_6845516909,user_00012,first_use,2025-06-15 00:00:00,ai_caption_generator,post_composer
exp_3491658807,user_00012,repeat_use,2025-06-16 00:00:00,ai_caption_generator,post_composer
exp_891510014,user_00012,repeat_use,2025-06-30 00:00:00,ai_caption_generator,post_composer
exp_4066467479,user_00012,repeat_use,2025-07-04 00:00:00,ai_caption_generator,content_calendar
exp_9780361226,user_00012,repeat_use,2025-08-05 00:00:00,ai_caption_generator,content_calendar
exp_183316861,user_00012,repeat_use,2025-08-08 00:00:00,ai_caption_generator,quick_action
exp_3010466989,user_00012,repeat_use,2025-08-18 00:00:00,ai_caption_generator,post_composer
exp_1299357753,user_00012,repeat_use,2025-08-21 00:00:00,ai_caption_generator,bulk_schedule
exp_6826328742,user_00012,repeat_use,2025-08-23 00:00:00,ai_caption_generator,content_calendar
exp_6104820961,user_00012,repeat_use,2025-09-01 00:00:00,ai_caption_generator,content_calendar
exp_4126647646,user_00012,repeat_use,2025-09-03 00:00:00,ai_caption_generator,bulk_schedule
exp_8438534391,user_00012,repeat_use,2025-09-07 00:00:00,ai_caption_generator,post_composer
exp_4680287788,user_00012,repeat_use,2025-09-08 00:00:00,ai_caption_generator,content_calendar
exp_6259527757,user_00012,repeat_use,2025-09-10 00:00:00,ai_caption_generator,quick_action
exp_7690093113,user_00012,repeat_use,2025-09-24 00:00:00,ai_caption_generator,post_composer
exp_4684748796,user_00012,repeat_use,2025-09-28 00:00:00,ai_caption_generator,bulk_schedule
exp_849509457,user_00012,repeat_use,2025-10-04 00:00:00,ai_caption_generator,bulk_schedule
exp_4217389175,user_00012,repeat_use,2025-10-09 00:00:00,ai_caption_generator,content_calendar
exp_8060268713,user_00012,repeat_use,2025-10-23 00:00:00,ai_caption_generator,bulk_schedule
exp_5471729905,user_00012,repeat_use,2025-11-02 00:00:00,ai_caption_generator,content_calendar
exp_9988302566,user_00012,repeat_use,2025-11-09 00:00:00,ai_caption_generator,bulk_schedule
exp_3688367840,user_00012,repeat_use,2025-12-07 00:00:00,ai_caption_generator,post_composer
exp_3000886525,user_00012,repeat_use,2025-12-10 00:00:00,ai_caption_generator,post_composer
exp_7290207201,user_00012,repeat_use,2025-12-10 00:00:00,ai_caption_generator,content_calendar
exp_8042198268,user_00012,repeat_use,2025-12-14 00:00:00,ai_caption_generator,content_calendar
exp_7966951367,user_00013,exposed,2025-06-05 00:00:00,ai_caption_generator,post_composer_tooltip
exp_9178682131,user_00014,exposed,2025-07-01 00:00:00,ai_caption_generator,post_composer_tooltip
exp_1800549983,user_00015,exposed,2025-06-18 00:00:00,ai_caption_generator,dashboard_banner
exp_9955386090,user_00015,first_use,2025-07-25 00:00:00,ai_caption_generator,post_composer
exp_6820556168,user_00015,repeat_use,2025-07-28 00:00:00,ai_caption_generator,post_composer
exp_375633686,user_00015,repeat_use,2025-08-01 00:00:00,ai_caption_generator,quick_action
exp_2482964565,user_00015,repeat_use,2025-08-11 00:00:00,ai_caption_generator,post_composer
exp_4203161518,user_00015,repeat_use,2025-08-20 00:00:00,ai_caption_generator,quick_action
exp_8337510848,user_00015,repeat_use,2025-08-20 00:00:00,ai_caption_generator,content_calendar
exp_1051275188,user_00015,repeat_use,2025-08-23 00:00:00,ai_caption_generator,post_composer
exp_5999111461,user_00015,repeat_use,2025-08-23 00:00:00,ai_caption_generator,bulk_schedule
exp_9805297875,user_00015,repeat_use,2025-09-20 00:00:00,ai_caption_generator,content_calendar
exp_1478924131,user_00015,repeat_use,2025-10-09 00:00:00,ai_caption_generator,content_calendar
exp_8404413437,user_00015,repeat_use,2025-10-13 00:00:00,ai_caption_generator,quick_action
exp_1780315837,user_00015,repeat_use,2025-10-13 00:00:00,ai_caption_generator,content_calendar
exp_7633601439,user_00015,repeat_use,2025-11-08 00:00:00,ai_caption_generator,quick_action
exp_8262515730,user_00015,repeat_use,2025-11-13 00:00:00,ai_caption_generator,post_composer
exp_8025479552,user_00015,repeat_use,2025-11-28 00:00:00,ai_caption_generator,content_calendar
exp_9530146634,user_00015,repeat_use,2025-12-23 00:00:00,ai_caption_generator,bulk_schedule
exp_8928801326,user_00015,repeat_use,2025-12-27 00:00:00,ai_caption_generator,content_calendar
exp_1061729960,user_00015,repeat_use,2025-12-27 00:00:00,ai_caption_generator,content_calendar
exp_849332557,user_00017,exposed,2025-06-08 00:00:00,ai_caption_generator,dashboard_banner
exp_3581044072,user_00018,exposed,2025-06-12 00:00:00,ai_caption_generator,dashboard_banner
exp_4982114779,user_00020,exposed,2025-06-25 00:00:00,ai_caption_generator,in_app_notification
exp_680613737,user_00020,first_use,2025-06-28 00:00:00,ai_caption_generator,content_calendar
exp_9254826087,user_00020,repeat_use,2025-07-02 00:00:00,ai_caption_generator,post_composer
exp_8784777479,user_00020,repeat_use,2025-07-17 00:00:00,ai_caption_generator,bulk_schedule
exp_5191907224,user_00020,repeat_use,2025-07-20 00:00:00,ai_caption_generator,quick_action
exp_330180364,user_00020,repeat_use,2025-07-24 00:00:00,ai_caption_generator,content_calendar
exp_8944134478,user_00020,repeat_use,2025-08-18 00:00:00,ai_caption_generator,content_calendar
exp_6312992375,user_00020,repeat_use,2025-09-14 00:00:00,ai_caption_generator,quick_action
exp_1607050547,user_00020,repeat_use,2025-10-04 00:00:00,ai_caption_generator,post_composer
exp_415922296,user_00020,repeat_use,2025-10-04 00:00:00,ai_caption_generator,content_calendar
exp_4321970451,user_00020,repeat_use,2025-10-25 00:00:00,ai_caption_generator,post_composer
exp_1211304937,user_00020,repeat_use,2025-11-03 00:00:00,ai_caption_generator,bulk_schedule
exp_4610093348,user_00020,repeat_use,2025-11-03 00:00:00,ai_caption_generator,quick_action
exp_5440976293,user_00020,repeat_use,2025-11-04 00:00:00,ai_caption_generator,bulk_schedule
exp_2714573762,user_00020,repeat_use,2025-11-06 00:00:00,ai_caption_generator,quick_action
exp_2305039298,user_00020,repeat_use,2025-11-08 00:00:00,ai_caption_generator,quick_action
exp_4693717520,user_00020,repeat_use,2025-11-16 00:00:00,ai_caption_generator,content_calendar
exp_4326592571,user_00020,repeat_use,2025-11-17 00:00:00,ai_caption_generator,content_calendar
exp_4149550445,user_00020,repeat_use,2025-12-07 00:00:00,ai_caption_generator,bulk_schedule
exp_4228275641,user_00020,repeat_use,2025-12-07 00:00:00,ai_caption_generator,post_composer
exp_989508277,user_00020,repeat_use,2025-12-09 00:00:00,ai_caption_generator,content_calendar
exp_4946141913,user_00020,repeat_use,2025-12-13 00:00:00,ai_caption_generator,quick_action
exp_75734646,user_00020,repeat_use,2025-12-23 00:00:00,ai_caption_generator,post_composer
exp_9508869753,user_00021,exposed,2025-06-10 00:00:00,ai_caption_generator,in_app_notification
exp_3389396987,user_00022,exposed,2025-07-26 00:00:00,ai_caption_generator,post_composer_tooltip
exp_3718426967,user_00022,first_use,2025-08-02 00:00:00,ai_caption_generator,bulk_schedule
exp_9883222628,user_00023,exposed,2025-06-09 00:00:00,ai_caption_generator,in_app_notification
exp_4091336989,user_00023,first_use,2025-06-10 00:00:00,ai_caption_generator,post_composer
exp_9719751130,user_00023,repeat_use,2025-06-12 00:00:00,ai_caption_generator,bulk_schedule
exp_1239575004,user_00023,repeat_use,2025-06-24 00:00:00,ai_caption_generator,bulk_schedule
exp_7635005791,user_00023,repeat_use,2025-06-24 00:00:00,ai_caption_generator,content_calendar
exp_5542398259,user_00023,repeat_use,2025-06-27 00:00:00,ai_caption_generator,content_calendar
exp_8958657713,user_00023,repeat_use,2025-06-29 00:00:00,ai_caption_generator,content_calendar
exp_7833088459,user_00023,repeat_use,2025-06-30 00:00:00,ai_caption_generator,content_calendar
exp_4337883459,user_00023,repeat_use,2025-06-30 00:00:00,ai_caption_generator,content_calendar
exp_8594295305,user_00023,repeat_use,2025-07-14 00:00:00,ai_caption_generator,post_composer
exp_3501068266,user_00023,repeat_use,2025-07-14 00:00:00,ai_caption_generator,quick_action
exp_7608705235,user_00023,repeat_use,2025-07-16 00:00:00,ai_caption_generator,content_calendar
exp_6416288515,user_00023,repeat_use,2025-07-22 00:00:00,ai_caption_generator,content_calendar
exp_6399048087,user_00023,repeat_use,2025-07-25 00:00:00,ai_caption_generator,content_calendar
exp_3329223874,user_00023,repeat_use,2025-08-10 00:00:00,ai_caption_generator,quick_action
exp_940341904,user_00023,repeat_use,2025-08-18 00:00:00,ai_caption_generator,bulk_schedule
exp_8609087813,user_00023,repeat_use,2025-09-02 00:00:00,ai_caption_generator,bulk_schedule
exp_8964160949,user_00023,repeat_use,2025-09-15 00:00:00,ai_caption_generator,bulk_schedule
exp_1609575980,user_00023,repeat_use,2025-09-16 00:00:00,ai_caption_generator,post_composer
exp_9515407280,user_00023,repeat_use,2025-09-16 00:00:00,ai_caption_generator,content_calendar
exp_5195049973,user_00023,repeat_use,2025-09-29 00:00:00,ai_caption_generator,quick_action
exp_2370050379,user_00023,repeat_use,2025-10-17 00:00:00,ai_caption_generator,quick_action
exp_144313876,user_00023,repeat_use,2025-10-20 00:00:00,ai_caption_generator,bulk_schedule
exp_623683590,user_00023,repeat_use,2025-10-24 00:00:00,ai_caption_generator,quick_action
exp_5311707032,user_00023,repeat_use,2025-10-25 00:00:00,ai_caption_generator,bulk_schedule
exp_4737985566,user_00023,repeat_use,2025-10-25 00:00:00,ai_caption_generator,post_composer
exp_2431613379,user_00023,repeat_use,2025-11-01 00:00:00,ai_caption_generator,bulk_schedule
exp_4452998810,user_00023,repeat_use,2025-11-15 00:00:00,ai_caption_generator,content_calendar
exp_7040789989,user_00023,repeat_use,2025-11-29 00:00:00,ai_caption_generator,post_composer
exp_1979533421,user_00023,repeat_use,2025-12-04 00:00:00,ai_caption_generator,post_composer
exp_4891394275,user_00023,repeat_use,2025-12-25 00:00:00,ai_caption_generator,content_calendar
exp_3450397939,user_00023,repeat_use,2025-12-25 00:00:00,ai_caption_generator,post_composer
exp_627190254,user_00024,exposed,2025-06-12 00:00:00,ai_caption_generator,feature_announcement_email
exp_8089638283,user_00024,first_use,2025-06-26 00:00:00,ai_caption_generator,content_calendar
exp_570066523,user_00024,repeat_use,2025-06-30 00:00:00,ai_caption_generator,quick_action
exp_3933020081,user_00024,repeat_use,2025-07-28 00:00:00,ai_caption_generator,content_calendar
