subscription_id,user_id,event_type,plan,mrr,event_date
sub_89163380,user_00001,created,pro,49,2025-01-05
sub_98036033,user_00002,created,pro,49,2025-09-20
sub_2284070,user_00003,created,free,0,2025-01-19
sub_78294709,user_00004,created,pro,49,2025-09-30
sub_36453156,user_00005,created,pro,49,2025-01-03
sub_40948608,user_00005,upgraded,enterprise,149,2025-09-17
sub_99577181,user_00006,created,enterprise,149,2025-02-11
sub_59871522,user_00007,created,enterprise,149,2025-03-11
sub_63680989,user_00008,created,free,0,2025-03-15
sub_24198721,user_00009,created,free,0,2025-05-17
sub_50442729,user_00010,created,free,0,2025-12-03
sub_82815569,user_00011,created,free,0,2025-03-10
sub_3033850,user_00012,created,free,0,2025-02-17
sub_27950053,user_00013,created,pro,49,2025-05-30
sub_90516830,user_00014,created,free,0,2025-01-13
sub_24512392,user_00015,created,pro,49,2025-05-05
sub_56460869,user_00015,cancelled,pro,0,2025-12-25
sub_86107758,user_00016,created,free,0,2025-07-29
sub_83954520,user_00017,created,pro,49,2025-01-27
sub_47395265,user_00018,created,pro,49,2025-02-01
sub_42386800,user_00019,created,enterprise,149,2025-04-26
sub_12666580,user_00020,created,pro,49,2025-01-23
sub_30151918,user_00020,cancelled,pro,0,2025-06-17
sub_17522122,user_00021,created,pro,49,2025-01-31
sub_63125920,user_00021,upgraded,enterprise,149,2025-09-27
sub_54891734,user_00022,created,enterprise,149,2025-01-21
sub_10590155,user_00023,created,free,0,2025-05-29
sub_87448980,user_00024,created,enterprise,149,2025-01-22
sub_62494282,user_00025,created,enterprise,149,2025-04-21
sub_80890057,user_00026,created,pro,49,2025-07-26
sub_40279806,user_00027,created,free,0,2025-04-28
sub_96663620,user_00028,created,enterprise,149,2025-06-04
sub_74784959,user_00029,created,free,0,2025-02-13
sub_3235511,user_00031,created,free,0,2025-11-30
sub_90882479,user_00032,created,pro,49,2025-01-26
sub_17976656,user_00032,upgraded,enterprise,149,2025-04-27
sub_36285546,user_00033,created,free,0,2025-03-15
sub_46297922,user_00034,created,free,0,2025-05-22
sub_92884277,user_00035,created,enterprise,149,2025-11-07
sub_48196283,user_00036,created,free,0,2025-01-28
sub_78429608,user_00037,created,free,0,2025-01-30
sub_72484270,user_00038,created,pro,49,2025-12-26
sub_47077616,user_00039,created,enterprise,149,2025-02-11
sub_15025239,user_00039,downgraded,pro,49,2025-04-01
sub_51306730,user_00040,created,free,0,2025-03-17
sub_4973489,user_00041,created,enterprise,149,2025-05-22
sub_17637986,user_00042,created,pro,49,2025-01-12
sub_14196034,user_00042,upgraded,enterprise,149,2025-11-27
sub_14267429,user_00043,created,pro,49,2025-04-03
sub_77171497,user_00043,cancelled,pro,0,2025-09-24
sub_89578903,user_00044,created,pro,49,2025-01-27
sub_14823020,user_00045,created,free,0,2025-08-10
sub_42905265,user_00046,created,pro,49,2025-04-24
sub_72078150,user_00046,downgraded,free,0,2025-12-21
sub_78039848,user_00047,created,free,0,2025-03-03
sub_12202914,user_00048,created,enterprise,149,2025-05-26
sub_22914929,user_00049,created,pro,49,2025-02-11
sub_57695778,user_00050,created,free,0,2025-05-24
sub_72543688,user_00051,created,pro,49,2025-05-07
sub_54304950,user_00052,created,pro,49,2025-01-21
sub_94370993,user_00052,upgraded,enterprise,149,2025-12-05
sub_38323962,user_00053,created,free,0,2025-05-20
sub_98315402,user_00054,created,free,0,2025-01-10
sub_81423225,user_00054,upgraded,pro,49,2025-05-18
sub_71921995,user_00055,created,free,0,2025-05-30
sub_55515657,user_00056,created,pro,49,2025-03-25
sub_34265686,user_00056,upgraded,enterprise,149,2025-09-21
sub_64286197,user_00057,created,pro,49,2025-03-13
sub_74625405,user_00058,created,enterprise,149,2025-03-12
sub_57439802,user_00059,created,free,0,2025-05-10
sub_68946993,user_00060,created,enterprise,149,2025-04-02
sub_90525094,user_00060,downgraded,pro,49,2025-09-08
sub_56546065,user_00061,created,pro,49,2025-03-06
sub_17032459,user_00062,created,free,0,2025-05-17
sub_28708354,user_00063,created,free,0,2025-03-31
